,description,price,location,date,area
0,Сдам 2-х комнатную кв-ру ул.И.Миколайчука 3 м.Левобережная ехать 10мин,7500,Дніпровський,11 квітня 2023 р.,46.0
1,"Сдам 2-ю кв-ру,Харьковское шоссе 21/3",8000,Дарницький,Сьогодні о 06:48,47.0
2,"Метро Шулявская и скоростной трамвай, сдаю квартиру  с Евроремонтом!",8000,Солом'янський,12 квітня 2023 р.,32.0
3,Квартира двокімнатна  вул. Романа Ратушного (бувша Волгоградська) 15,8000,Солом'янський,Сьогодні о 04:40,44.0
4,Здається квартира,8000,Дарницький,12 квітня 2023 р.,56.0
5,"Сдается 2  комнатная Деснянский,ул.Шалом Алейхема 22,метро Лесная",6000,Дніпровський,12 квітня 2023 р.,55.0
6,Оренда 2-х  роздільної кімнатної квартири. Туполева 18г,8000,Шевченківський,12 квітня 2023 р.,56.0
7,Оренда двокімнатна роздільна Оболонь метро Мінська вул Зої Гайдай 2,7800,Оболонський,12 квітня 2023 р.,53.0
8,Здам 2 кімнатну квартиру на Перова,4000,Дніпровський,12 квітня 2023 р.,45.0
9,Двокімнатна квартира на бульварі Верховної Ради,7000,Дніпровський,12 квітня 2023 р.,38.0
10,"2-х комнатная 65 кв.м на Вишневецкого , рядом Вышгородская",8000,Подільський,12 квітня 2023 р.,65.0
11,2к Чавдар Осокорки,7000,Дарницький,12 квітня 2023 р.,63.0
12,"Сдается 2-ая квартира, Дарницкий р-н, Харьковский мас, м. Харьковская.",7000,Дарницький,Сьогодні о 05:43,54.0
13,"Братиславська 36/2, Лісовий  масив",7000,Дніпровський,12 квітня 2023 р.,48.0
14,Здам 2к НАУ м. Шулявська Берестейська вул.Василенка,8000,Солом'янський,Сьогодні о 07:51,46.0
15,"Подольский 2 ком  ул.Западынская, 3-Б",7000,Подільський,11 квітня 2023 р.,48.0
16,"2 комн разд кв, метро Демеевская",7500,Голосіївський,12 квітня 2023 р.,42.0
17,Сдам 2-комн. квартиру на Дарнице.Жмаченко 4,7500,Дніпровський,12 квітня 2023 р.,48.0
18,"ВЛАСНИК  ! 2к  , 3 станції метро Нивки, Святошин,,Серець!",8000,Святошинський,12 квітня 2023 р.,45.0
19,"Сдача квартиры на Стеценка 28, Подольский район",7500,Подільський,12 квітня 2023 р.,38.0
20,Сдам 2-комн. Пр-т Червоної Калини (Маяковського) 72а,6990,Дніпровський,12 квітня 2023 р.,59.0
21,Оренда  2-на квартира проспект Лісовий ( район Деснянський),7500,Деснянський,12 квітня 2023 р.,59.3
22,"Двокімнатна кв-ра в хорошому стані,чудова інфр-ра, 25 хв до центру!",7000,Святошинський,12 квітня 2023 р.,49.0
23,2-х кімн. кв-ра по пр. Червоної Калини 18 (В. Маяковського)  7/9 пов.,5500,Деснянський,Сьогодні о 04:39,50.0
24,Сдам двухкомнатную квартиру,8000,Святошинський,12 квітня 2023 р.,54.0
25,Довготривала оренда 2к квартири на вул. Петра Запорожця 5а,8000,Дніпровський,Сьогодні о 02:24,48.0
26,"2х комн. кв-ра м. Бориспольская, ул. Харченко, 65, Бортничи",7000,Дарницький,12 квітня 2023 р.,60.0
27,2-х кім квартира. Заболотного/Теремки 1 Будьмо ресторан,7000,Голосіївський,12 квітня 2023 р.,45.0
28,Двохкімнатна . Оренда  Чорнобильська 22.,7000,Святошинський,12 квітня 2023 р.,78.0
29,"Сдам 2 х ком кв. ул Кошеца 4, м. Харьковская 5 минут ходьбы",6500,Дарницький,12 квітня 2023 р.,65.0
30,Оренда 2-к квартира  Метро Мінська Оболонь Вул. Богатирська,8000,Оболонський,Сьогодні о 05:08,55.0
31,"Сдаю 2к квартиру,  ул. Кубанской Украины 30,  Лесной массив.",5500,Деснянський,Сьогодні о 05:16,50.0
32,Сдам 2-х комнатную кв-ру ул.Грекова 26 м.Дорогожичи 10мин.пешком,6500,Шевченківський,12 квітня 2023 р.,46.0
33,"На Месяц-два-шесть! 2 комн квартира метро Берестейская, Шулявская",6500,Солом'янський,12 квітня 2023 р.,44.0
34,"Здам непогану 2-шку,вул.Ірпінська,м.Житомирська-5 хвилин.",7700,Святошинський,12 квітня 2023 р.,57.0
35,Сдам 2-х комнатную квартиру  на п-р Бажана 9ж -  м.Вырлиця,7500,Дарницький,12 квітня 2023 р.,56.0
36,"АРЕНДА Двухкомнатной,   Лесной проспект 9, Деснянский район, 6000 гр",6000,Дніпровський,12 квітня 2023 р.,47.0
37,"2к ул. Петропавловская 48, Куреневка, метро Дорогожичи, Подольский р-н",5000,Подільський,12 квітня 2023 р.,40.0
38,"2-х кімнатна квартира, Кіото 9, м.Чернігівська.",8000,Дніпровський,11 квітня 2023 р.,45.0
39,"М.""Дарница""рядом! Ул.А.Малышко.Сдам (раздельную) 2к.квартиру.",8000,Дніпровський,Сьогодні о 08:35,51.0
40,"2к Борщаговка, бул. Кольцова 18а. Бойлер, вся бытовая.",5000,Святошинський,Сьогодні о 08:17,50.0
41,Здам 2к квартиру на Василенка,7000,Солом'янський,Сьогодні о 05:44,46.0
42,Аренда 2 ком Метро Нивки ул Туполева 18г Щербаковского Салютная,8000,Шевченківський,12 квітня 2023 р.,54.0
43,"Оренда 2 к. кв. на Виговського 12г -Нивки, Шевченківський р-н",8000,Шевченківський,Сьогодні о 05:35,46.0
44,Торг!Оренда 2-х кімнатної квартири вул.Бальзака 90,7500,Деснянський,Сьогодні о 05:01,55.0
45,"Тичини пр., 14А, метро Осокорки 4,5км, Лівобережна 3,5км",7900,Дніпровський,12 квітня 2023 р.,63.0
46,"Сдается 2х комнатная квартира ст.метро Дарница,Воскресенка",7000,Дніпровський,12 квітня 2023 р.,45.0
47,Сдам 2к.квартиру м.Левобережная,6000,Дніпровський,12 квітня 2023 р.,46.0
48,"Оренда 2-й квартири,після ремонту,поруч з парком та м.Чернігівська.",6500,Деснянський,Сьогодні о 05:40,48.0
49,Двухкомнатная рядом остановка до м Бориспольская 12мин на маршрутке,6000,Дарницький,12 квітня 2023 р.,70.0
50,"Сдаю квартиру 2-х комнатную в Киеве, смежные комнаты в Хрущевке",8000,Дніпровський,12 квітня 2023 р.,42.0
51,Сдается просторная 2-ая квартира Бальзака 90,8000,Деснянський,11 квітня 2023 р.,56.0
52,"Бульвар Верховної Ради. Метро Дарниця, Чернігівська = 10 хв.пішки.",6500,Дніпровський,Сьогодні о 08:05,44.0
53,"Срочно! 2 комнатная квартира на проспекте Отрадный, 28",5500,Солом'янський,12 квітня 2023 р.,48.0
54,"Метро Шулявская и скоростной трамвай, сдаю квартиру  с Евроремонтом!",8000,Солом'янський,12 квітня 2023 р.,32.0
55,Борщаговка Скоростной трамвай Академика Королева 10 Б 2к раздельная,6500,Святошинський,12 квітня 2023 р.,47.0
56,Аренда Западная Борщаговская Гарматная Отрадный НАУ парк Орлятко,8000,Солом'янський,12 квітня 2023 р.,58.0
57,"Квартира, Виноградар, МОЖНА з тваринами",5500,Подільський,12 квітня 2023 р.,55.0
58,Комфортна 2-х кімн біля метро Житомирська та Академмістечко.,8000,Святошинський,12 квітня 2023 р.,50.0
59,"Здається 2-х кім. квартира, Академгородок",8000,Святошинський,12 квітня 2023 р.,60.0
60,"Сдам 2-комн., Троещина, Маяковского, 69",7500,Деснянський,12 квітня 2023 р.,54.0
61,"Здам 2к кв Гната Юри, 11! Колібріс, Гната Юры, Борщаговка, Борщагівка",7500,Святошинський,12 квітня 2023 р.,45.0
62,"Аренда. 2-комнатная. метро Харьковская. ул. Ревуцкого,34",8000,Дарницький,12 квітня 2023 р.,52.0
63,Сдам 2-ком.кв.метро Черниговская 10 минут. Милютенка 9,5800,Деснянський,12 квітня 2023 р.,52.0
64,"Новое, Порика, Виноградарь, Свободы, Варшавский",8000,Подільський,12 квітня 2023 р.,59.0
65,Аренда квартир киев,7000,Подільський,Сьогодні о 05:56,45.0
66,"2-к раздельная Соцгород Пожарского 9 рядом метро Дарница, Черниговская",7000,Дніпровський,12 квітня 2023 р.,46.0
